x_est	y_est	vx_est	vy_est	yaw_est	yaw_rate_est	px	py	timestamp	x_gt	y_gt	vx_gt	vy_gt	yaw_gt	yawrate_gt
-8.40289	-5.09749	-2.99856	-4.1494	4.08662	-0.161255	-8.335522	-5.105899	1477010457800000	-8.452043	-4.943306	-3.265143	-3.886408	4.013645	-0.306282
-8.73912	-5.45733	-3.09546	-3.95647	4.04849	-0.183114	-8.914773	-5.517524	1477010457900000	-8.784330	-5.326687	-3.377447	-3.776628	3.982731	-0.317665
-9.05522	-5.83778	-3.16948	-3.86846	4.02598	-0.18762	-9.033911	-5.802665	1477010458000000	-9.127879	-5.698724	-3.490125	-3.659551	3.950683	-0.328848
-9.36891	-6.08788	-3.22963	-3.52335	3.97046	-0.231032	-9.308113	-5.823680	1477010458100000	-9.482699	-6.058680	-3.602610	-3.535029	3.917523	-0.339823
-9.68587	-6.48022	-3.29036	-3.54527	3.96426	-0.210718	-9.625472	-6.559576	1477010458200000	-9.848741	-6.405802	-3.714314	-3.402945	3.883270	-0.350583
-10.1115	-6.81173	-3.58249	-3.43448	3.9059	-0.255101	-10.224580	-6.834023	1477010458300000	-10.225900	-6.739329	-3.824630	-3.263211	3.847947	-0.361122
-10.5278	-7.15925	-3.78752	-3.35141	3.86598	-0.271728	-10.761620	-7.291586	1477010458400000	-10.613990	-7.058492	-3.932934	-3.115774	3.811576	-0.371433
-10.981	-7.46726	-4.01829	-3.17498	3.81029	-0.303959	-11.221910	-7.569794	1477010458500000	-11.012800	-7.362519	-4.038585	-2.960619	3.774179	-0.381509
-11.3181	-7.75896	-3.96838	-3.02996	3.79369	-0.288483	-11.093440	-7.677602	1477010458600000	-11.422020	-7.650638	-4.140935	-2.797773	3.735781	-0.391345
-11.6911	-7.98886	-4.01048	-2.78735	3.74897	-0.307737	-11.526880	-7.821504	1477010458700000	-11.841280	-7.922082	-4.239323	-2.627303	3.696405	-0.400933
-12.095	-8.19188	-4.0493	-2.48923	3.69277	-0.337258	-12.090030	-8.088283	1477010458800000	-12.270170	-8.176094	-4.333085	-2.449321	3.656077	-0.410268
-12.5279	-8.40383	-4.25669	-2.33295	3.64295	-0.355394	-12.423100	-8.259904	1477010458900000	-12.708170	-8.411929	-4.421555	-2.263987	3.614821	-0.419343
-13.0103	-8.58209	-4.3811	-2.02386	3.57434	-0.393395	-13.291110	-8.645942	1477010459000000	-13.154730	-8.628861	-4.504069	-2.071509	3.572665	-0.428154
-13.4832	-8.73138	-4.55024	-1.76579	3.51177	-0.418752	-13.384010	-8.575829	1477010459100000	-13.609220	-8.826188	-4.579969	-1.872143	3.529634	-0.436695
-13.922	-8.88406	-4.52051	-1.51634	3.46523	-0.426313	-13.995910	-8.992638	1477010459200000	-14.070940	-9.003236	-4.648610	-1.666195	3.485756	-0.444959
-14.405	-9.08523	-4.69986	-1.48017	3.4467	-0.394445	-14.427260	-9.187501	1477010459300000	-14.539130	-9.159364	-4.709360	-1.454024	3.441059	-0.452943
-14.9215	-9.15543	-4.81093	-1.11046	3.36844	-0.439755	-15.062030	-9.043962	1477010459400000	-15.012980	-9.293968	-4.761607	-1.236035	3.395571	-0.460640
